GID	GO	EVIDENCE
ostta17g00030	GO:0009064	ISS
ostta01g01980	GO:0006547	ISS
ostta01g04230	GO:0006547	ISS
ostta01g05700	GO:0006547	ISS
ostta02g01690	GO:0006547	ISS
ostta04g01100	GO:0006547	ISS
ostta05g02235	GO:0006547	ISS
ostta05g02610	GO:0006547	ISS
ostta07g00060	GO:0006547	ISS
ostta11g00080	GO:0006547	ISS
ostta01g04490	GO:0006570	ISS
ostta02g01690	GO:0006570	ISS
ostta03g03750	GO:0006570	ISS
ostta05g01300	GO:0006570	ISS
ostta09g03480	GO:0006570	ISS
ostta12g02430	GO:0006570	ISS
ostta15g01350	GO:0006570	ISS
ostta16g00710	GO:0006570	ISS
ostta01g04490	GO:0006558	ISS
ostta02g01690	GO:0006558	ISS
ostta03g03750	GO:0006558	ISS
ostta05g01300	GO:0006558	ISS
ostta06g00480	GO:0006558	ISS
ostta09g03720	GO:0006558	ISS
ostta12g02430	GO:0006558	ISS
ostta16g00710	GO:0006558	ISS
ostta01g04230	GO:0006568	ISS
ostta02g04820	GO:0006568	ISS
ostta04g04830	GO:0006568	ISS
ostta06g00480	GO:0006568	ISS
ostta09g02380	GO:0006568	ISS
ostta09g03720	GO:0006568	ISS
ostta11g02820	GO:0006568	ISS
ostta14g00170	GO:0006568	ISS
ostta01g01230	GO:0009073	ISS
ostta01g04490	GO:0009073	ISS
ostta02g01690	GO:0009073	ISS
ostta02g01980	GO:0009073	ISS
ostta02g03640	GO:0009073	ISS
ostta04g00300	GO:0009073	ISS
ostta05g01300	GO:0009073	ISS
ostta05g01820	GO:0009073	ISS
ostta06g01710	GO:0009073	ISS
ostta06g03270	GO:0009073	ISS
ostta06g04200	GO:0009073	ISS
ostta07g01110	GO:0009073	ISS
ostta07g02810	GO:0009073	ISS
ostta08g02920	GO:0009073	ISS
ostta10g02460	GO:0009073	ISS
ostta11g03090	GO:0009073	ISS
ostta12g02610	GO:0009073	ISS
ostta14g02070	GO:0009073	ISS
ostta14g02775	GO:0009073	ISS
ostta16g00710	GO:0009073	ISS
ostta01g02650	GO:0019482	ISS
ostta01g04230	GO:0019482	ISS
ostta02g03460	GO:0019482	ISS
ostta09g02630	GO:0019482	ISS
ostta09g03720	GO:0019482	ISS
ostta10g02200	GO:0019482	ISS
ostta12g02310	GO:0019482	ISS
ostta02g03460	GO:0019286	ISS
ostta18g01140	GO:0019286	ISS
ostta07g02580	GO:0019634	ISS
ostta09g02400	GO:0019634	ISS
ostta03g03050	GO:0001887	ISS
ostta03g04670	GO:0001887	ISS
ostta04g02650	GO:0001887	ISS
ostta07g04600	GO:0001887	ISS
ostta09g00970	GO:0001887	ISS
ostta09g01900	GO:0001887	ISS
ostta09g02590	GO:0001887	ISS
ostta10g00290	GO:0001887	ISS
ostta18g00200	GO:0001887	ISS
ostta18g00400	GO:0001887	ISS
ostta02g03980	GO:0046416	ISS
ostta11g00550	GO:0046416	ISS
ostta18g01010	GO:0046416	ISS
