pathway.id	pathway.description	genes	GO
path:ota00510	N-Glycan biosynthesis	ostta02g00860,ostta04g01000,ostta05g02820,ostta07g04510,ostta07g04570,ostta08g02820,ostta09g00280,ostta10g00350,ostta12g00150,ostta13g00580,ostta14g02510,ostta15g01020,ostta16g01040,ostta16g02020,ostta17g01080	GO:0006487
path:ota00511	Other glycan degradation	ostta07g03640	GO:0006044
path:ota00513	Various types of N-glycan biosynthesis	ostta01g04910,ostta02g00040,ostta02g00860,ostta04g01000,ostta05g02820,ostta09g00280,ostta10g00350,ostta14g02510,ostta15g01020,ostta16g01040,ostta16g02020,ostta17g01080,ostta19g00410	GO:0018279
path:ota00514	Other types of O-glycan biosynthesis	ostta01g01440,ostta01g03660,ostta02g02070,ostta02g04620,ostta03g05030,ostta04g02290,ostta04g02330,ostta06g01970,ostta07g01310,ostta09g01110,ostta11g01630,ostta12g01120,ostta12g02990,ostta17g00520,ostta17g00870,ostta19g00120,ostta19g00320	GO:0016266
path:ota00520	Amino sugar and nucleotide sugar metabolism	ostta01g01510,ostta02g00840,ostta02g02840,ostta02g04540,ostta02g05140,ostta03g03950,ostta04g01480,ostta05g04070,ostta05g04620,ostta07g01230,ostta07g03070,ostta07g03440,ostta07g04170,ostta08g01570,ostta09g00100,ostta09g01870,ostta10g03130,ostta10g03430,ostta11g01410,ostta11g01670,ostta11g02780,ostta11g03190,ostta12g01630,ostta13g01690,ostta13g02030,ostta14g00540,ostta15g00180,ostta15g02520,ostta16g01390,ostta18g01060,ostta19g00110,ostta19g00610,ostta20g00490,ostta20g00830	GO:0006044
path:ota00543	Exopolysaccharide biosynthesis	ostta07g04640,ostta11g02320,ostta17g01780	GO:0000271
path:ota00561	Glycerolipid metabolism	ostta01g00590,ostta01g04230,ostta02g00340,ostta02g01930,ostta03g00820,ostta03g02130,ostta04g02240,ostta05g02845,ostta06g01870,ostta06g03200,ostta07g00680,ostta07g02360,ostta07g03110,ostta07g03340,ostta08g02720,ostta09g03210,ostta10g03430,ostta11g01370,ostta13g00320,ostta15g01110,ostta16g00910,ostta17g01150,ostta17g01290,ostta17g02080,ostta18g00810	GO:0046486
path:ota00562	Inositol phosphate metabolism	ostta01g00250,ostta01g04370,ostta02g03070,ostta02g05350,ostta03g01890,ostta04g02150,ostta05g02610,ostta05g04730,ostta07g04120,ostta08g01290,ostta09g00120,ostta12g01880,ostta15g02070,ostta16g01500,ostta18g00560,ostta20g00320	GO:0043647
path:ota00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	ostta01g02630,ostta01g02845,ostta02g03200,ostta03g02320,ostta03g04890,ostta03g05440,ostta04g01180,ostta04g03700,ostta05g02530,ostta06g00765,ostta07g00015,ostta07g04100,ostta09g00420,ostta09g01450,ostta10g01350,ostta10g03470,ostta14g00270,ostta15g00530,ostta15g02460	GO:0006506
path:ota00564	Glycerophospholipid metabolism	ostta01g03460,ostta01g03810,ostta01g04280,ostta02g00340,ostta03g01580,ostta03g02130,ostta03g03020,ostta04g02240,ostta04g03470,ostta04g03930,ostta06g03200,ostta07g00680,ostta07g00880,ostta07g02360,ostta07g02580,ostta07g03340,ostta08g00070,ostta09g01710,ostta09g02400,ostta11g01160,ostta12g02580,ostta13g02360,ostta14g01387,ostta15g00380,ostta15g02860,ostta16g00960,ostta17g01150,ostta17g02080,ostta18g00810,ostta20g00320	GO:0006650
