gene_id	GO_ids
ostta04g00450	GO:0000727; GO:0003688; GO:0003697; GO:0005524; GO:0005634; GO:0006270; GO:0016887; GO:0017116; GO:0042555; GO:0043138
ostta01g02580	GO:0000347; GO:0000727; GO:0003697; GO:0005524; GO:0006270; GO:0016887; GO:0042555; GO:1902969; GO:1990518
ostta02g02010	GO:0000727; GO:0003697; GO:0005524; GO:0005634; GO:0006270; GO:0006271; GO:0016887; GO:0017116; GO:0042555
ostta09g03060	GO:0004314
ostta20g00030	GO:0016740
ostta04g03340	GO:0005737; GO:0031177; GO:0043041; GO:0044550
ostta10g01690	GO:0006631; GO:0031956
ostta11g00050	GO:0008685; GO:0016114; GO:0019288; GO:0046872
ostta08g02580	GO:0003712; GO:0006357; GO:0016592
ostta01g01080	GO:0003712; GO:0006357; GO:0016592; GO:0070847
ostta07g04500	GO:0009507; GO:0032259; GO:0042372; GO:0052624
ostta15g00955	GO:0004478; GO:0005524; GO:0005737; GO:0006556; GO:0006730; GO:0046872
ostta03g04620	GO:0003857; GO:0004165; GO:0004300; GO:0005777; GO:0006635; GO:0008692; GO:0070403
ostta02g01930	GO:0009247; GO:0031969; GO:0046509
ostta17g02010	GO:0005789; GO:0016717; GO:0042761
ostta02g03070	GO:0004512; GO:0005737; GO:0006021; GO:0008654
ostta18g01710	
ostta13g00450	GO:0005516; GO:0006952; GO:0016020
ostta17g01950	GO:0016020; GO:0016491
ostta01g04550	GO:0005524; GO:0005829; GO:0016226; GO:0046872; GO:0051539; GO:0140663
ostta14g00980	GO:0000703; GO:0003677; GO:0005634; GO:0006285; GO:0006289; GO:0046872; GO:0051539; GO:0140078
ostta02g00870	GO:0005506; GO:0018188; GO:0031418; GO:0031543
ostta06g00730	
ostta04g05220	GO:0003682; GO:0003688; GO:0005524; GO:0005664; GO:0006270; GO:0008270; GO:0016887; GO:0033314
ostta16g01960	GO:0016020
ostta06g02000	
ostta08g03630	GO:0005829; GO:0016020; GO:0032934
ostta03g00140	GO:0005634; GO:0005783; GO:0005829; GO:0016020; GO:0032934; GO:0120015
ostta01g06040	GO:0016020; GO:0022857
ostta15g01920	GO:0005829; GO:0016020; GO:0032934
ostta09g01290	GO:0004806; GO:0005737; GO:0005811; GO:0016020; GO:0019433; GO:0055088
ostta15g02500	GO:0004806; GO:0005737; GO:0005811; GO:0016020; GO:0016740; GO:0019433; GO:0055088
ostta07g00680	GO:0008195
ostta02g02830	GO:0003755; GO:0005740; GO:0005829; GO:0012505; GO:0016020; GO:0044183
ostta13g01550	GO:0006636; GO:0016020; GO:0016717; GO:0042759
ostta05g00100	GO:0006636; GO:0016020; GO:0016717; GO:0042759
ostta10g02580	GO:0006636; GO:0016020; GO:0016717; GO:0042759
ostta17g00430	GO:0004739; GO:0006086
ostta12g03170	GO:0008757; GO:0032259
ostta09g02400	GO:0004306; GO:0005737; GO:0006646
ostta07g02450	GO:0005737; GO:0016491; GO:0046872; GO:0051537
ostta09g04240	GO:0005507; GO:0009055; GO:0009535; GO:0009543
ostta17g00310	GO:0009055; GO:0009507; GO:0022900; GO:0046872; GO:0051537
ostta18g01250	GO:0004324; GO:0009507
ostta04g04150	GO:0009512; GO:0016020
ostta14g00050	GO:0006629; GO:0008970
ostta12g02580	GO:0005737; GO:0006655; GO:0008444; GO:0016020; GO:0030145; GO:0045995
ostta16g02540	GO:0004674; GO:0005524; GO:0009882
ostta03g01890	GO:0000045; GO:0000407; GO:0005524; GO:0005768; GO:0005777; GO:0006897; GO:0016303; GO:0034271; GO:0034272; GO:0048015
